ID,반,메타인지,인지욕구,모호함인내,AI경험,AI질문역량
P001,1반,31,67,39,7,9.8
P002,1반,93,18,26,23,5.7
P003,1반,37,44,51,10,7.6
P004,1반,45,90,60,22,19.6
P005,1반,81,86,29,23,12.9
P006,1반,41,74,16,15,9.0
P007,1반,52,18,14,9,6.8
P008,1반,58,49,43,9,12.6
P009,1반,37,20,19,18,6.8
P010,1반,62,90,54,23,19.8
P011,1반,28,23,54,8,7.2
P012,1반,92,82,58,25,18.6
P013,1반,33,67,40,6,18.0
P014,1반,82,59,39,8,13.9
P015,1반,77,40,52,6,4.4
P016,2반,88,52,37,10,5.1
P017,2반,94,50,57,21,10.8
P018,2반,32,28,13,24,10.1
P019,2반,92,36,39,23,8.7
P020,2반,89,37,19,18,9.2
P021,2반,81,21,43,25,8.4
P022,2반,65,60,13,18,6.4
P023,2반,49,76,27,19,18.4
P024,2반,71,26,25,24,4.0
P025,2반,51,41,35,20,17.9
P026,2반,50,75,46,20,11.6
P027,2반,31,22,17,16,11.2
P028,2반,72,44,57,24,10.8
P029,2반,31,50,49,16,14.0
P030,2반,50,66,57,14,13.7
P031,3반,66,64,16,6,7.3
P032,3반,65,69,32,23,14.2
P033,3반,54,52,37,21,14.7
P034,3반,38,81,20,15,14.0
P035,3반,33,45,19,13,11.5
P036,3반,99,77,36,14,15.7
P037,3반,66,83,58,13,13.8
P038,3반,23,23,16,10,7.5
P039,3반,71,59,43,14,12.9
P040,3반,20,24,21,8,5.6
P041,3반,77,43,59,21,13.6
P042,3반,53,47,18,13,12.5
P043,3반,76,76,39,6,10.4
P044,3반,95,85,52,10,16.2
P045,3반,26,28,23,9,12.4
P046,4반,28,26,14,6,6.3
P047,4반,26,59,24,13,12.8
P048,4반,47,71,38,19,13.9
P049,4반,70,65,45,7,14.2
P050,4반,50,70,14,6,14.0
P051,4반,99,90,40,8,18.8
P052,4반,58,68,41,16,19.3
P053,4반,59,50,33,11,15.7
P054,4반,51,71,42,22,15.2
P055,4반,32,22,45,9,5.0
P056,4반,43,78,18,9,10.8
P057,4반,26,21,13,9,5.3
P058,4반,39,18,47,6,6.8
P059,4반,27,63,49,9,5.4
P060,4반,80,86,52,18,19.4
P061,5반,83,42,23,20,10.5
P062,5반,92,47,51,18,12.7
P063,5반,95,80,29,20,19.3
P064,5반,55,45,23,15,13.7
P065,5반,34,25,18,6,7.7
P066,5반,48,21,22,11,8.6
P067,5반,56,90,37,15,16.7
P068,5반,52,53,43,23,5.9
P069,5반,45,39,48,11,4.9
P070,5반,63,54,41,8,18.9
P071,5반,45,46,20,7,5.3
P072,5반,46,32,56,6,4.4
P073,5반,46,69,32,19,8.1
P074,5반,61,84,29,20,16.9
P075,5반,20,26,40,13,4.3
P076,6반,81,47,45,18,6.6
P077,6반,84,35,20,10,8.9
P078,6반,61,38,45,16,7.1
P079,6반,87,83,46,15,7.5
P080,6반,49,42,39,13,12.1
P081,6반,96,55,32,8,12.3
P082,6반,83,27,22,14,12.8
P083,6반,73,67,35,19,18.3
P084,6반,24,56,28,10,4.4
P085,6반,29,80,25,7,12.0
P086,6반,43,47,55,11,11.8
P087,6반,34,77,39,8,17.1
P088,6반,91,68,18,24,16.9
P089,6반,90,51,33,17,17.8
P090,6반,66,32,35,25,9.6
