ID,반,메타인지,인지욕구,모호함인내,AI경험,AI질문역량
P001,1반,32,29,39,22,13.7
P002,1반,34,48,22,7,12.5
P003,1반,81,85,37,15,8.8
P004,1반,24,48,14,21,6.2
P005,1반,78,67,52,17,18.4
P006,1반,58,40,44,12,9.2
P007,1반,73,76,55,12,16.2
P008,1반,75,90,37,22,8.6
P009,1반,79,23,46,11,4.0
P010,1반,91,63,59,25,18.0
P011,1반,63,85,52,9,12.0
P012,1반,83,63,33,22,16.1
P013,1반,59,27,30,17,16.3
P014,1반,43,45,19,6,11.6
P015,1반,64,59,39,20,4.5
P016,2반,82,37,43,15,12.0
P017,2반,65,90,21,24,9.6
P018,2반,87,50,40,9,6.6
P019,2반,71,89,53,18,12.8
P020,2반,65,45,43,18,4.8
P021,2반,59,66,49,25,18.2
P022,2반,91,52,46,8,8.1
P023,2반,23,42,20,19,7.8
P024,2반,69,71,45,16,10.8
P025,2반,27,18,20,8,4.1
P026,2반,52,68,25,23,18.9
P027,2반,94,37,49,12,10.5
P028,2반,76,41,34,19,12.2
P029,2반,78,89,40,6,15.4
P030,2반,75,87,17,10,14.1
P031,3반,94,48,21,12,8.9
P032,3반,75,49,52,25,19.6
P033,3반,60,22,36,19,12.0
P034,3반,36,34,30,25,16.7
P035,3반,24,19,17,12,4.5
P036,3반,65,81,29,16,18.3
P037,3반,35,22,38,18,7.3
P038,3반,21,22,22,25,15.6
P039,3반,32,79,37,15,16.2
P040,3반,65,18,40,13,5.7
P041,3반,45,87,41,16,12.1
P042,3반,92,40,59,15,10.6
P043,3반,64,68,19,15,16.0
P044,3반,65,79,21,24,16.8
P045,3반,70,67,36,23,19.6
P046,4반,53,35,46,6,7.2
P047,4반,58,81,35,24,18.0
P048,4반,59,83,28,17,11.5
P049,4반,61,18,24,17,6.9
P050,4반,39,27,51,17,10.5
P051,4반,20,18,26,7,8.9
P052,4반,32,31,41,13,17.2
P053,4반,38,21,32,9,10.4
P054,4반,28,31,54,13,18.1
P055,4반,67,40,38,21,14.8
P056,4반,56,28,56,22,11.4
P057,4반,29,55,26,17,14.0
P058,4반,82,29,40,8,6.9
P059,4반,47,66,52,15,18.3
P060,4반,69,22,54,19,15.1
P061,5반,34,54,20,23,8.3
P062,5반,99,72,34,9,15.6
P063,5반,67,64,48,21,12.1
P064,5반,69,62,21,14,15.0
P065,5반,21,30,22,22,9.5
P066,5반,32,38,24,16,7.5
P067,5반,81,27,18,8,11.9
P068,5반,33,81,16,24,13.9
P069,5반,96,35,55,7,17.8
P070,5반,43,70,32,19,6.2
P071,5반,30,21,31,15,4.0
P072,5반,98,88,31,20,19.8
P073,5반,23,53,15,12,9.0
P074,5반,59,23,18,10,7.7
P075,5반,65,57,25,8,12.4
P076,6반,59,59,46,16,16.0
P077,6반,51,90,36,18,17.0
P078,6반,92,71,58,13,13.2
P079,6반,58,33,24,14,10.7
P080,6반,74,73,44,20,20.0
P081,6반,60,56,45,12,12.4
P082,6반,43,19,12,14,15.5
P083,6반,88,70,55,19,18.8
P084,6반,54,64,40,24,13.3
P085,6반,96,50,56,13,11.9
P086,6반,69,64,25,25,13.5
P087,6반,29,28,24,19,9.5
P088,6반,35,84,41,13,11.1
P089,6반,93,34,38,21,17.5
P090,6반,72,42,45,21,14.1
