ID,반,메타인지,인지욕구,모호함인내,AI경험,AI질문역량
P001,1반,47,35,41,19,18.0
P002,1반,97,73,56,14,14.8
P003,1반,22,23,17,14,4.6
P004,1반,100,88,59,23,19.2
P005,1반,62,53,19,12,15.5
P006,1반,66,47,26,15,16.6
P007,1반,30,35,40,6,18.4
P008,1반,35,62,35,18,6.8
P009,1반,66,46,52,11,15.2
P010,1반,51,65,51,16,16.7
P011,1반,34,44,17,7,12.7
P012,1반,54,36,31,8,17.9
P013,1반,48,53,29,14,6.2
P014,1반,46,66,26,14,18.2
P015,1반,63,39,50,22,17.7
P016,2반,70,61,57,14,18.9
P017,2반,69,78,40,15,10.0
P018,2반,37,73,24,18,8.3
P019,2반,38,70,58,5,15.9
P020,2반,79,61,58,24,19.7
P021,2반,37,29,13,21,4.8
P022,2반,79,76,37,10,11.8
P023,2반,50,77,58,19,20.0
P024,2반,28,79,59,20,15.9
P025,2반,62,32,16,10,13.5
P026,2반,44,58,25,12,5.3
P027,2반,31,58,34,19,17.2
P028,2반,95,73,28,19,19.4
P029,2반,38,31,27,17,14.6
P030,2반,84,73,14,16,5.4
P031,3반,57,39,30,21,10.1
P032,3반,25,55,17,10,6.8
P033,3반,31,18,24,19,13.1
P034,3반,20,26,27,24,14.9
P035,3반,32,31,46,8,4.1
P036,3반,50,47,39,11,16.1
P037,3반,48,67,37,6,4.2
P038,3반,22,47,27,7,11.9
P039,3반,35,22,23,21,11.8
P040,3반,33,20,23,23,13.3
P041,3반,71,35,17,20,4.2
P042,3반,95,83,40,16,6.4
P043,3반,52,80,60,21,7.3
P044,3반,77,71,33,22,6.7
P045,3반,78,60,47,25,17.1
P046,4반,45,29,23,14,7.2
P047,4반,97,80,44,25,7.1
P048,4반,91,81,60,19,19.9
P049,4반,75,75,26,24,13.0
P050,4반,33,39,12,5,4.6
P051,4반,79,82,34,14,13.8
P052,4반,58,60,19,18,8.2
P053,4반,49,69,42,18,12.4
P054,4반,92,54,58,14,18.5
P055,4반,34,20,37,10,15.0
P056,4반,96,44,30,17,10.5
P057,4반,61,78,27,14,17.5
P058,4반,89,81,36,17,16.1
P059,4반,78,44,49,21,9.2
P060,4반,86,88,41,14,19.4
P061,5반,27,20,32,11,4.0
P062,5반,22,54,53,10,9.5
P063,5반,46,40,46,5,13.3
P064,5반,97,77,50,20,19.2
P065,5반,42,21,31,17,7.1
P066,5반,70,32,57,8,16.4
P067,5반,74,59,35,24,17.6
P068,5반,21,61,33,7,4.1
P069,5반,86,90,29,11,12.7
P070,5반,66,61,40,9,12.0
P071,5반,33,62,35,22,10.5
P072,5반,23,21,19,9,15.6
P073,5반,55,44,31,7,8.1
P074,5반,72,84,37,10,7.7
P075,5반,28,54,12,24,4.3
P076,6반,64,80,48,17,17.0
P077,6반,45,23,26,11,5.3
P078,6반,84,74,26,5,8.9
P079,6반,87,64,41,13,14.9
P080,6반,87,43,19,20,6.0
P081,6반,27,60,37,8,15.0
P082,6반,54,81,24,11,9.6
P083,6반,52,60,44,13,19.2
P084,6반,65,55,31,24,13.0
P085,6반,45,34,27,11,4.6
P086,6반,54,64,49,24,19.6
P087,6반,95,79,32,22,15.0
P088,6반,67,35,19,16,8.9
P089,6반,80,46,53,17,14.4
P090,6반,31,62,24,10,8.2
