ID,반,메타인지,인지욕구,모호함인내,AI경험,AI질문역량_사전,AI질문역량_사후,향상도,향상률
P001,1반,51,85,60,13,9.4,11.1,1.6999999999999993,18.1
P002,1반,32,43,12,19,6.7,10.0,3.3,49.3
P003,1반,66,35,35,5,8.1,10.7,2.5999999999999996,32.1
P004,1반,59,49,32,8,10.0,14.9,4.9,49.0
P005,1반,88,58,60,25,13.5,18.0,4.5,33.3
P006,1반,65,62,37,21,11.0,13.0,2.0,18.2
P007,1반,43,67,19,23,11.2,15.9,4.700000000000001,42.0
P008,1반,28,85,42,13,10.0,13.5,3.5,35.0
P009,1반,72,41,40,21,10.9,10.8,-0.09999999999999964,-0.9
P010,1반,53,33,51,14,8.0,9.4,1.4000000000000004,17.5
P011,1반,58,60,15,12,8.1,9.4,1.3000000000000007,16.0
P012,1반,47,54,48,6,9.3,11.0,1.6999999999999993,18.3
P013,1반,20,53,49,14,8.3,10.1,1.799999999999999,21.7
P014,1반,78,30,28,13,12.1,16.5,4.4,36.4
P015,1반,69,67,25,5,10.6,14.0,3.4000000000000004,32.1
P016,2반,64,66,28,10,11.0,13.3,2.3000000000000007,20.9
P017,2반,73,49,49,13,10.4,14.6,4.199999999999999,40.4
P018,2반,35,90,45,9,10.8,12.7,1.8999999999999986,17.6
P019,2반,99,33,30,18,13.0,17.3,4.300000000000001,33.1
P020,2반,53,73,46,13,9.6,11.9,2.3000000000000007,24.0
P021,2반,67,44,51,16,12.4,16.9,4.499999999999998,36.3
P022,2반,74,39,32,21,8.0,10.8,2.8000000000000007,35.0
P023,2반,20,33,50,17,9.3,9.4,0.09999999999999964,1.1
P024,2반,93,73,31,8,12.8,14.6,1.799999999999999,14.1
P025,2반,61,44,31,18,11.2,13.7,2.5,22.3
P026,2반,26,46,34,12,9.6,10.1,0.5,5.2
P027,2반,52,47,39,6,6.9,11.2,4.299999999999999,62.3
P028,2반,100,62,12,14,10.3,15.1,4.799999999999999,46.6
P029,2반,55,76,23,17,12.6,15.7,3.0999999999999996,24.6
P030,2반,31,61,12,17,10.0,11.2,1.1999999999999993,12.0
P031,3반,56,78,43,7,9.5,13.2,3.6999999999999993,38.9
P032,3반,67,80,51,15,10.6,12.2,1.5999999999999996,15.1
P033,3반,47,48,53,20,11.0,10.0,-1.0,-9.1
P034,3반,47,61,12,11,8.4,8.6,0.1999999999999993,2.4
P035,3반,83,71,36,15,11.1,14.7,3.5999999999999996,32.4
P036,3반,76,69,21,15,9.4,15.4,6.0,63.8
P037,3반,59,58,19,16,9.9,14.2,4.299999999999999,43.4
P038,3반,58,84,29,20,12.2,15.4,3.200000000000001,26.2
P039,3반,62,52,20,15,9.4,11.4,2.0,21.3
P040,3반,51,52,60,8,11.1,12.8,1.700000000000001,15.3
